date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:25:08	67/67	---MC-	200	added ('OK')	text/plain	date:Mon,%2027%20Jan%202025%2011:55:08%20GMT	https://wpdemo.archiwp.com/robots.txt		(from )
17:25:09	222618/222618	---MCZ	200	added ('OK')	text/html	date:Mon,%2027%20Jan%202025%2008:11:14%20GMT	https://wpdemo.archiwp.com/engitech/	C:/Users/rocks/OneDrive/Desktop/practice/qw/wpdemo.archiwp.com/engitech/index.html	(from )
17:25:09	25932/25932	---M--	200	added ('OK')	image/png	date:Tue,%2010%20Mar%202020%2003:38:55%20GMT	https://wpdemo.archiwp.com/engitech/wp-content/uploads/sites/4/2020/03/bg-s1-home3.png	C:/Users/rocks/OneDrive/Desktop/practice/qw/wpdemo.archiwp.com/engitech/wp-content/uploads/sites/4/2020/03/bg-s1-home3.png	(from https://wpdemo.archiwp.com/engitech/)
17:25:10	2368/2368	---M--	200	added ('OK')	text/css	date:Tue,%2003%20Sep%202024%2015:40:29%20GMT	https://wpdemo.archiwp.com/engitech/wp-content/cache/min/4/engitech/wp-content/plugins/contact-form-7/includes/css/styles.css?ver=1725378029	C:/Users/rocks/OneDrive/Desktop/practice/qw/wpdemo.archiwp.com/engitech/wp-content/cache/min/4/engitech/wp-content/plugins/contact-form-7/includes/css/styles8aff.css	(from https://wpdemo.archiwp.com/engitech/)
17:25:10	38132/38132	---MC-	200	added ('OK')	application/rss+xml	date:Wed,%2022%20Jan%202025%2011:01:52%20GMT	https://wpdemo.archiwp.com/engitech/feed/	C:/Users/rocks/OneDrive/Desktop/practice/qw/wpdemo.archiwp.com/engitech/feed/index.html	(from https://wpdemo.archiwp.com/engitech/)
17:25:10	6671/6671	---M--	200	added ('OK')	text/css	date:Tue,%2003%20Sep%202024%2015:40:29%20GMT	https://wpdemo.archiwp.com/engitech/wp-content/cache/min/4/engitech/wp-content/plugins/oceanthemes-toolbar/plugin.css?ver=1725378029	C:/Users/rocks/OneDrive/Desktop/practice/qw/wpdemo.archiwp.com/engitech/wp-content/cache/min/4/engitech/wp-content/plugins/oceanthemes-toolbar/plugin8aff.css	(from https://wpdemo.archiwp.com/engitech/)
17:25:10	17688/17688	---M--	200	added ('OK')	text/css	date:Tue,%2003%20Sep%202024%2015:40:29%20GMT	https://wpdemo.archiwp.com/engitech/wp-content/cache/min/4/engitech/wp-content/plugins/woocommerce/assets/css/woocommerce-layout.css?ver=1725378029	C:/Users/rocks/OneDrive/Desktop/practice/qw/wpdemo.archiwp.com/engitech/wp-content/cache/min/4/engitech/wp-content/plugins/woocommerce/assets/css/woocommerce-layout8aff.css	(from https://wpdemo.archiwp.com/engitech/)
17:25:11	7043/7043	---M--	200	added ('OK')	text/css	date:Tue,%2003%20Sep%202024%2015:40:29%20GMT	https://wpdemo.archiwp.com/engitech/wp-content/cache/min/4/engitech/wp-content/plugins/woocommerce/assets/css/woocommerce-smallscreen.css?ver=1725378029	C:/Users/rocks/OneDrive/Desktop/practice/qw/wpdemo.archiwp.com/engitech/wp-content/cache/min/4/engitech/wp-content/plugins/woocommerce/assets/css/woocommerce-smallscreen8aff.css	(from https://wpdemo.archiwp.com/engitech/)
17:25:11	2332/2332	---MC-	200	added ('OK')	application/rss+xml	date:Wed,%2022%20Jan%202025%2011:01:52%20GMT	https://wpdemo.archiwp.com/engitech/comments/feed/	C:/Users/rocks/OneDrive/Desktop/practice/qw/wpdemo.archiwp.com/engitech/comments/feed/index.html	(from https://wpdemo.archiwp.com/engitech/)
17:25:11	78832/78832	---M--	200	added ('OK')	text/css	date:Tue,%2003%20Sep%202024%2015:40:29%20GMT	https://wpdemo.archiwp.com/engitech/wp-content/cache/min/4/engitech/wp-content/plugins/woocommerce/assets/css/woocommerce.css?ver=1725378029	C:/Users/rocks/OneDrive/Desktop/practice/qw/wpdemo.archiwp.com/engitech/wp-content/cache/min/4/engitech/wp-content/plugins/woocommerce/assets/css/woocommerce8aff.css	(from https://wpdemo.archiwp.com/engitech/)
